strategy,sltp_profile,entry_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Combo_H1H4TrendAlign_EMA9_21Cross,RR3.0_SL1.0ATR,London_NewYork_Overlap,1075,0.29023255813953486,1.0903224710163786,192.04438917081464,0.1786459434147113,-171.58746901903433
Bollinger_Breakout,RR3.0_SL1.0ATR,Tokyo_London_Overlap,746,0.2667560321715818,1.0880653531628635,95.69605794763277,0.12827889805312703,-190.46392654316497
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,NewYork,1309,0.33995416348357527,1.0878850274804366,627.1279843291868,0.4790893692354368,-609.1447077932494
Session_VWAP_Reversion,RR3.0_SL1.0ATR,London_NewYork_Overlap,66,0.2878787878787879,1.0864281638710227,12.500765060409833,0.1894055312183308,-41.97916235187913
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,Tokyo_London_Overlap,228,0.32894736842105265,1.0819721954729966,38.689129130184696,0.16968916285168725,-93.8980435729759
Bollinger_Breakout,RR3.0_SL1.0ATR,NewYork,1655,0.2513595166163142,1.0793770304549835,575.771689085502,0.34789830156223683,-506.0150369422257
Combo_MACDCross_BollingerBreakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,2132,0.3597560975609756,1.0784570629098391,450.37397417496663,0.21124482841227327,-173.98978722890266
Combo_MACDCross_BollingerBreakout,RR2.0_SL1.5ATR,Tokyo_London_Overlap,416,0.36778846153846156,1.0718910547029608,58.10109803490663,0.13966610104544863,-68.53868219626409
Combo_H4Trend_OpeningRangeBreakout,RR2.0_SL1.5ATR,NewYork,1304,0.348159509202454,1.0712391062083693,276.9147551659984,0.21235794107821962,-401.0641800359051
Session_VWAP_Reversion,RR1.5_SL1.0ATR,NewYork,17,0.4117647058823529,1.0709016817845392,3.566133506799382,0.20977255922349305,-22.207838414760843
Bollinger_Breakout,RR2.0_SL1.5ATR,NewYork,1427,0.34127540294323755,1.0689258249130016,570.7019796918242,0.399931310225525,-681.0305329783464
Combo_RSIReversion_BollingerBand,RR2.0_SL1.5ATR,London,70,0.4,1.0640715068124615,11.00505328837495,0.157215046976785,-63.82311189905555
RSI_Reversion_30_70,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,1269,0.34515366430260047,1.0575777379684104,178.33206500829135,0.14052960205539114,-182.83210282768852
Bollinger_MeanReversion,RR2.0_SL1.5ATR,Asia,579,0.31088082901554404,1.050216918552079,59.334660538297044,0.10247782476389818,-268.19271483353117
Combo_RSIReversion_BollingerBand,RR1.5_SL1.0ATR,Sydney,8,0.375,1.047142228183274,0.9032141782265901,0.11290177227832376,-7.570010735871911
Combo_EMA200Trend_RSI50Pullback,RR1.5_SL1.0ATR,Tokyo_London_Overlap,584,0.4503424657534247,1.0458698869666982,29.662341013867,0.05079167981826541,-83.9446748578632
