=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
LL,Update,1949.76,2023.04.03 06:15:00,M15,Accepted,,
LL,Update,1949.76,2023.04.03 17:30:00,M15,Accepted,,
CHoCH,Bullish,1990.54,2023.04.03 19:15:00,M15,Confirmed,1949.76,1970.01.01 00:00:00
LL,Update,1949.76,2023.04.03 19:15:00,M15,Accepted,,
HH,Update,1990.54,2023.04.03 19:15:00,M15,Accepted,,
LL,Update,1977.01,2023.04.04 09:30:00,M15,Accepted,,
BoS,Bullish,1977.01,2023.04.04 16:30:00,M15,Confirmed,1990.54,1970.01.01 00:00:00
HH,Update,2025.00,2023.04.04 17:15:00,M15,Accepted,,
BoS,Bullish,1977.01,2023.04.05 10:00:00,M15,Confirmed,2025.00,1970.01.01 00:00:00
HH,Update,2032.26,2023.04.05 15:45:00,M15,Accepted,,
LL,Update,2009.90,2023.04.05 17:30:00,M15,Accepted,,
HH,Update,2032.26,2023.04.06 16:00:00,M15,Accepted,,
CHoCH,Bearish,2000.84,2023.04.06 16:45:00,M15,Confirmed,2032.26,1970.01.01 00:00:00
HH,Update,2032.26,2023.04.06 16:45:00,M15,Accepted,,
LL,Update,2000.84,2023.04.06 16:45:00,M15,Accepted,,
HH,Update,2032.26,2023.04.06 16:45:00,M15,Accepted,,
BoS,Bearish,2000.84,2023.04.10 03:30:00,M15,Confirmed,2032.26,1970.01.01 00:00:00
LL,Update,1988.83,2023.04.10 05:45:00,M15,Accepted,,
HH,Update,2003.06,2023.04.10 14:45:00,M15,Accepted,,
BoS,Bearish,1988.83,2023.04.10 16:45:00,M15,Confirmed,2032.26,1970.01.01 00:00:00
LL,Update,1981.72,2023.04.10 17:30:00,M15,Accepted,,
LL,Update,1981.72,2023.04.11 11:30:00,M15,Accepted,,
CHoCH,Bullish,2007.44,2023.04.11 11:45:00,M15,Confirmed,1981.72,1970.01.01 00:00:00
LL,Update,1981.72,2023.04.11 11:45:00,M15,Accepted,,
HH,Update,2007.44,2023.04.11 11:45:00,M15,Accepted,,
LL,Update,1995.58,2023.04.11 16:00:00,M15,Accepted,,
BoS,Bullish,1995.58,2023.04.12 04:15:00,M15,Confirmed,2007.44,1970.01.01 00:00:00
HH,Update,2021.13,2023.04.12 07:45:00,M15,Accepted,,
BoS,Bullish,1995.58,2023.04.12 15:30:00,M15,Confirmed,2021.13,1970.01.01 00:00:00
HH,Update,2028.35,2023.04.12 15:30:00,M15,Accepted,,
LL,Update,2001.39,2023.04.12 16:45:00,M15,Accepted,,
BoS,Bullish,2001.39,2023.04.13 15:30:00,M15,Confirmed,2028.35,1970.01.01 00:00:00
HH,Update,2048.67,2023.04.13 17:00:00,M15,Accepted,,
HH,Update,2047.47,2023.04.14 17:45:00,M15,Accepted,,
CHoCH,Bearish,1992.40,2023.04.14 19:15:00,M15,Confirmed,2048.67,1970.01.01 00:00:00
HH,Update,2047.47,2023.04.14 19:15:00,M15,Accepted,,
LL,Update,1992.40,2023.04.14 19:15:00,M15,Accepted,,
HH,Update,2047.47,2023.04.14 19:15:00,M15,Accepted,,
HH,Update,2015.05,2023.04.17 10:00:00,M15,Accepted,,
BoS,Bearish,1992.40,2023.04.17 17:15:00,M15,Confirmed,2015.05,1970.01.01 00:00:00
LL,Update,1981.18,2023.04.17 17:45:00,M15,Accepted,,
HH,Update,2011.82,2023.04.18 18:30:00,M15,Accepted,,
BoS,Bearish,1981.18,2023.04.19 11:30:00,M15,Confirmed,2011.82,1970.01.01 00:00:00
LL,Update,1969.18,2023.04.19 14:30:00,M15,Accepted,,
HH,Update,2012.39,2023.04.20 17:00:00,M15,Accepted,,
CHoCH,Bullish,2019.41,2023.05.02 19:00:00,M15,Confirmed,1969.18,1970.01.01 00:00:00
LL,Update,1969.18,2023.05.02 19:00:00,M15,Accepted,,
LL,Update,1969.18,2023.05.02 19:00:00,M15,Accepted,,
HH,Update,2019.41,2023.05.02 19:00:00,M15,Accepted,,
HH,Update,2019.58,2023.05.03 07:00:00,M15,Accepted,,
LL,Update,2007.78,2023.05.03 15:15:00,M15,Accepted,,
BoS,Bullish,1969.18,2023.05.03 17:45:00,M15,Confirmed,2019.58,1970.01.01 00:00:00
HH,Update,2066.81,2023.05.04 01:00:00,M15,Accepted,,
